id;name;owner_id;gender;birth;color_id
1;Shoes;69539;GELDING;2020-06-04T14:33:50;7971
2;enable Usability;59727;GELDING;2020-06-04T10:41:53;51636
3;content aggregate Ergonomic Plastic Shirt;6951;MARE;2020-06-03T23:53:11;18750
4;Central Clothing;56067;MARE;2020-06-04T07:23:47;29089
5;Personal Loan Account;15932;MARE;2020-06-04T13:22:38;19892
6;Jewelery;80603;GELDING;2020-06-04T11:00:11;78513
7;Sports grey Orchestrator;40517;MARE;2020-06-04T01:54:52;2832
8;Auto Loan Account Plastic;98079;MARE;2020-06-03T22:13:38;47026
9;Wooden;91001;STALLION;2020-06-04T03:25:20;31626
10;Interactions Games monitor;50387;MARE;2020-06-04T16:52:36;39754
