id;stable_id;horse_id;date;category_id;stall
1;20867;8741;2020-06-08T06:36:38;12161;26948
2;68278;58203;2020-06-07T14:21:30;94581;77537
3;37362;29143;2020-06-07T23:29:11;78169;3763
4;37897;22559;2020-06-08T08:13:02;30152;85295
5;29175;39373;2020-06-07T12:16:57;65428;20538
6;58065;13900;2020-06-07T20:55:08;14916;5087
7;49837;77177;2020-06-07T10:07:04;18014;47134
8;24307;82923;2020-06-07T19:33:26;11843;10423
9;23016;13756;2020-06-08T03:00:33;24000;53508
10;71233;45527;2020-06-08T06:31:20;66539;68511
