id;date;title;price;doctor
1;2020-10-16T12:27:18;technologies Namibia optimize;64710;magenta
2;2020-10-17T08:35:53;Intelligent;48763;customized
3;2020-10-17T03:33:37;matrix;57088;Realigned Balanced
4;2020-10-16T12:04:31;methodology Maine;38296;blue engage Open-source
5;2020-10-17T10:10:51;Well;56699;Cotton sticky
6;2020-10-17T02:18:09;Maryland;19984;Uganda Shilling Car
7;2020-10-17T01:59:34;dedicated;25234;Seamless Yemen communities
8;2020-10-17T07:50:41;Angola;92809;Personal Loan Account Moldova Corporate
9;2020-10-16T20:44:46;Dale Engineer Fantastic;63875;Pizza supply-chains
10;2020-10-17T07:40:00;Hills Paradigm;86149;PNG Kina
